Resolution #,Title,Sponsoring District,Resolution,Staff Lead,Status,Actions,Notes
2021-16,Supervisor Code of Conduct,North Yakima,That WSCC and the WACD Board of Directors (as defined in WACD’s Bylaws) initiate discussions around the need for a Code of Conduct for Conservation District Supervisors. If those discussions warrant a review and/or development of further action items then the WSCC shall lead the effort. The WACD Board of Directors will task the President to form any temporary task force as deemed necessary by the WSCC.,Heather Wendt,Active,"The WACD Board of Directors voted at their February 2022 meeting that a Code of Conduct was necessary and asked the Commission to initiate that process. That process has not been initiated, likely due to WSCC staff and leadership turnover.",
2021-17,CD Elections,Association,That WACD adopt the four recommendations from the Joint Committee on Elections.,Ryan Baye,Active,"WACD adopted the four recommendations from the Joint Committee, and has operated under those guidelines when engaging with legislative proposals in 2022 and 2023.",
2021-18,"Diversity, Equity, and Inclusion Recommendations",Association,"That WACD adopts the proposed policy statement and recommendations of the Committee on Diversity, Equity, and Inclusion.",Tom Salzer,Active,The WACD Board of Directors adopted the Committee’s policy recommendations in November of 2021. The membership adopted the committee’s recommendations at the 2022 Annual Business Meeting.,
2020-01,WACD Revolving Fund to Build CD Capacity,Whatcom,"Resolved, WACD shall investigate the advisability of establishing a revolving fund to provide lines of credit to districts with demonstrated need for funds to capture grant or contract funding. It shall report back by September 1, 2021.",Completed,Inactive,"The Finance Committee investigated the topic, and in 2022 presented their recommendation against the establishment of the fund due to limited funding and potential legal liabilities.",
2020-02,Support SCC operating and capital budget requests for FY21-23 biennium,Palouse,"WACD will work closely with all conservation districts statewide, SCC and other partners, to fully support the SCC operating and capital budget requests for the FY21-23 biennium through contacts with the Governor’s Office of Financial Management and Legislators.",Completed,Inactive,"In the 2021 Legislative session, WACD was able to secure $2 M in CTA and $3 M for wildfire recovery funding for CDs along with an increase in CREP & RCPP funding. ",
2020-03,Extending Electronic Training Resources,Okanogan,WACD supports the increased use of electronic and remote learning opportunities as a part of training programs for conservation districts that is provided by state conservation agencies and the USDA Natural Resources Conservation Service.,Heather Wendt,Active,NACD adopted this resolution at its 2021 Annual Meeting. Remote participation options for state and federal training are now almost universal.,
2020-04,Rural Broadband Internet Access,South Central Area,"WACD supports increased rural broadband internet and cell phone access, infrastructure, and affordability for all working lands and residents.",Ryan Baye,Active,NACD adopted this resolution at its 2021 Annual Meeting. WACD has supported one legislative proposal under this resolution.,
2020-05,"Diversity, Equity & Inclusion Statement & Work Plan Development",Pierce & Clark,"WACD will convene a committee to develop a Diversity, Equity, and Inclusion policy recommendation by September 2021. This recommendation will be provided to all Conservation Districts for consideration at their Area Meetings with action by the WACD at its annual meeting.

The Task Force will also provide information, suggested resources, and guidance for districts that are interested in developing their own diversity, equity, and inclusion initiatives.",Completed,Inactive,"WACD convened the DEI committee, which met during in 2021 and had its recommendations adopted by the membership at the 2022 Annual Business Meeting.",
2020-06,"Diversity, Equity & Inclusion Statement",King,"WACD will create a DEI Committee that will consider the following actions and develop any recommendations by September 2021 to all Conservation Districts for consideration at their Area Meetings for possible action by the WACD at its annual meeting.to include but not limited to the following:
1. The Commission and WACD help conservation districts to work with underrepresented communities in their service area to understand what natural resource concerns are important to them and to find ways to incorporate those natural resources concerns into the conservation district’s book of business.
2. To encourage conservation districts to prioritize equity in the services they offer and in employment decisions.
3. That the Commission and WACD organize annual diversity, equity, and inclusion seminars that are made available to all Conservation District Supervisors and Managers.
4. That WACD and the Commission work with districts to make elections more public and to ensure that communities of color are engaged around elections.
5. That the commission recruits and retains a diversity, equity, and inclusion officer that will work with the election’s officer to promote engagement of communities of color across the state and address the disparity gap around services and elections.
6. That WACD asks conservation districts and the Washington State Conservation Commission to take actions to encourage more diversity in conservation district supervisor positions both elected and appointed.",Completed,Inactive,"WACD convened the DEI committee, which met during in 2021 and had its recommendations adopted by the membership at the 2022 Annual Business Meeting.",
2020-09,WACD Member Services Review,Pierce,WACD to engage the Association’s membership to understand the possible need for more shared services resources or different services resources from the Association and then research ways of providing important support to conservation districts.,Completed,Inactive,"Primarily through the efforts of the Shared Resources Work Group, WACD is expected to offer legal, HR, and IT services to its member-districts at the start of FY 2025. ",
2020-10,Conservation District Election Improvements,King,WACD is committed to working with the Legislature and Washington State Conservation Commission on election issues.,Ryan Baye,Active,"WACD co-organized the Joint Committee on Elections with WSCC in 2021. WACD has engaged in, and kept the membership informed, of legislative proposals on CD elections. ",
2019-02,Grazing CRP as a Mid-Management Practice,Whitman,"To rejuvenate CRP stands and reduce fuel loads, proscribed grazing should be added as an eligible mid-contract maintenance practice.",Doug Rushton,Retired,This resolution was adopted by NACD at their 2020 Annual Meeting.,
2019-03,Loss of Crop Protection Products,Palouse,NACD supports retaining crop protection products until suitable replacements are found coupled with education on the benefits of these products.,Doug Rushton,Retired,This resolution was adopted by NACD at their 2020 Annual Meeting. WACD has taken a position on three legislative proposals based off this resolution.,
2019-04,Identifying on-farm renewable energy development/use & soil health practice adoption as high priority goals.,Whatcom and Spokane,"The Washington Association of Conservation Districts supports increased adoption of soil health systems as well as the development and use of renewable energy sources by farmers and other landowners within the State of Washington. The WACD Board, Executive Director and Lobbyist shall participate in discussions likely to lead to legislation or WSCC funding packages to ensure that conservation districts are integral to the delivery of technical and financial assistance, on a voluntary basis, implement soil health practices; and develop and use on-farm renewable energy sources.",Completed,Retired,"WACD supported SB 5947 in 2020 that created the Sustainable Farms & Fields Program, which received $30 M for the 23-25 biennium.",
2019-05,Support legislation to restrict out of basin water transfers.,Okanogan,"WACD shall support legislation, rulemaking, and agency policy that restricts, inhibits, or denies the transfer of water rights outside of the Water Resource Inventory Area (WRIA) in which they are originally located.",Ryan Baye,Retired," While WACD has supported various iterations of this bill, the legislature has not adopted any proposals.",
2019-06,Support legislation to authorize rangeland fire protection districts.,Okanogan,WACD shall support legislation that authorizes and supports the creation of rangeland fire protection districts in Washington State.,Ryan Baye,Retired," While WACD has supported various iterations of this bill, the legislature has not adopted any of the proposals.",
2019-07,Community Forest Bill,Central Klickitat,"WACD supports the Community Forest bill to include conservation district eligibility and working lands philosophy, its passage and implementation by the WA Legislature that will foster equity and inclusion in community forest funding opportunities. The resulting program shall be developed to foster local leadership and management in rural communities.",Ryan Baye,Retired,"Though HB 1946 was not adopted by the legislature, CDs are eligible for RCO’s Community Forest grant program.",
2019-08,Improving Association & District Governance Processes,"Whatcom, King,  and Spokane","The WACD Board shall identify an effective model of governance and work to implement it completely. Further, WACD shall advocate to the WSCC that it supports all districts interested in improving district governance and additionally provide continuing education to supervisors and managers in its implementation to attain and maintain a high level of competency and performance.",Tom Salzer,Retired,"District governance is a part of the Commission’s CAPP, and supervisor engagement & education is component of WACD’s contract with WSCC.",
2019-11,Improve Hydraulic Permit Approval Statue,"King, Okanogan, and Mason","Resolved, WACD shall work with WDFW, WSCC, conservation districts, and legislators to support the passage of this bill as a top priority of the Association.",Completed,Retired,WACD supported HB 1187. It passed the legislature and became law.,
2019-12,Support CD funding for implementing Community Resiliency Programs,Okanogan and Skagit,"WACD shall work with the Governor and the Washington State Legislature to support funding to conservation districts for implementing community resiliency programs, fire fuels reduction, forest health, and fire recovery work that is carried out in partnership with the Washington Department of Natural Resources and other partners.",Ryan Baye,Retired,WACD has worked to increase community resiliency funding from the legislature: $3 M in FY21-23 and $13 M in FY23-25.,
2019-13,Addressing State Policy on Water Quantity and Availability,Cowlitz,"WACD and WSCC to designate a person to track the implementation of R.C.W. 90.94 and communicate to all 45 Washington State Conservation Districts the status in each W.R.I.A. to the Conservation District or multiple Conservation Districts in that watershed. This needs a coordinated approach to this statewide issue, which can be different by watershed.",Ryan Baye,Retired,Inactive due to lack of available capacity or resources by either WACD or the Commission.,
2019-15,Sustainable funding for State Conservation Commission,Thurston,"WACD shall work with WSCC and the Long-term Sustainable Funding Committee to recommend a sustainable funding option for the Conservation Commission and the Legislature to support CD services, such as revenue from a dedicated fee or direct authority for Rates and Charges.",Heather Wendt,Retired,The Sustainable Funding Committee has been meeting regularly since its creation in 2022.,
2019-22,CD Eligibility for RCO Grants,Eastern Klickitat,WACD shall work with RCO and legislators to implement policy revisions to allow CDs to compete more fully in RCO grant categories.,Ryan Baye,Retired,WACD has not been able to convince RCO to expand their eligibility for certain programs to include conservation districts.,
2019-23,Conservation District Status as Government Entities,Eastern Klickitat,WACD will work to clarify in RCW and WAC that CDs are recognized as tax exempt local units of Washington state government.,Ryan Baye,Retired,"As of March 2024, the Commission is seeking a legal opinion from their Assistant Attorney General. ",
2019-24,Community Project Funding,Underwood,WACD supports SCC Commission to help create a modified NRI or capital funding stream that allows Districts to act as the contractual recipient and spend funds for specific projects involving multiple landowners in a single area with a common purpose regardless of district priority.,Completed,Retired,Part of the Commission’s “District Implemented Project” Program since the start of FY2021.,
2019-26,RCW 89.08.405 3(a) Maximum Annual per Parcel Rate,Benton and Franklin,"WACD shall explore Changing RCW 89.08.405 sub 3(a) in the following manner:

RCW 89.08.405

(3)(a) The system of rates and charges may include an annual per acre amount, an annual per parcel amount, or an annual per parcel amount plus an annual per acre amount. If included in the system of rates and charges, the maximum annual per acre rate or charge shall not exceed ten cents per acre. The maximum annual per parcel rate shall not exceed fifteen dollars.",Ryan Baye,Retired,WACD was unable to find a bill sponsor for this legislative proposal. It is now a component of efforts around R 2023-28.,
